hai,hey
gelut,"wrestle, wrestling, grapple, grappling, hand-to-hand struggle"
spam,Spam
epic,Epic.
mengaku,confess
end,end
great,
inggrisnya,English
jumlah,"measure, quantity, amount"
fb,
enaknya,Delicious
iyakah,Is not it
mc,MC.
ditembak,Shot
nambah,add it
menyerah,surrender
gone,
umi,
dewa,god
has,
screenshot,Screenshot
skrub,Scrub
sialan,Damn
nine,Nine
rumahku,My house
dokter,doctor
sukses,successful
jok,car seat
kejora,
mermaid,
pinjem,borrow
mommy,
kursi,chair
kreatif,"clever, cunning, ingenious"
la,la
kidul,south
ngaji,Said
tidurnya,sleep
perasaan,feeling
luka,wound
jawa,Java
suara-suara,Voice
milih,Choose
sisa,remainder
wakwakwakwakwak,Wakwakwakwak.
special,
bubur,porridge
tray,Tray
kelapa,coconut
nafas,"breathe, take a breath, respire, suspire"
kongres,congress
botak,bald
usaha,"feat, effort, exploit"
koplo,
farming,
final,"finale, close, closing curtain, finis"
pos,post
stick,
begitulah,That's how it is
jalur,track
nyi,Nyi.
daya,power
twice,
aksi,action
dibuat,Made
membantu,help
cuy,
break,
bayar,pay
hapus,delete
sure,
krimnya,the cream
melangkah,Stepping
kitchen,
paralysis,
o,
seblak,Seblak
ngono,Ngono
simpan,save
elo,Elo.
tatakae,Tatakae
skillnya,
negara,state
steven,
kerjanya,works
rendah,low
hem,Hem
gw,Gw
kobokan,finger bowl
umum,general
judulnya,
berguna,"beneficial, good"
potong,"edit, blue-pencil, delete"
dasar,base
icha,Icha
ae,Ae.
dicat,painted
tut,
gimana-gimana,
sony,
kenceng,fast
balikin,Balikin
lihat-lihat,looking around
nda,Nda
lelah,tired
someone,
feeling,Feeling
baron,baron
lurus,straight
malem,night
hpnya,His mobile phone
menuju,going to
depannya,front
menghilang,disappear
tangki,"tank, storage tank"
muat,Load
__,
bayangin,Shadow
picture,
matte,Matte.
iyah,yes
switch,
outside,
pong,Pong
favorit,"favorite, favourite"
mencet,Mend.
sebanyak,as much
berpikir,"think, believe, consider, conceive"
cerita-cerita,Story-story
kijang,deer
dede,Dede
nona,Miss
layak,worthy
boat,Boat
gendut,pregnant
senjata,weapon
bentuk,shape
fish,Fish
jauh-jauh,Fareness
kebaca,Kebaca
pecah,broken
become,
beda-beda,Different
diajak,Despite
ican,
chaeri,
bocor,leaking
taunya,Taunya
hubungan,connection
badges0,
modern,modern
mangga,mango
lulus,Graduated
bokers,
kereta,Train
sabun,soap
beliau,he
own,
rizky,Rizky
gantian,take turns
berlari,run
cobain,try it
memakai,use
jumat,Friday
pecel,
macet,congested
jeta,Jeta
trus,While
sim,SIM
minutes,
sungai,river
rom,Rom
wifi,
miring,crooked
batin,inward
intinya,the main thing is
pain,pint
dikira,Thinkled
bocil,Locil
yan,Yan
lengkap,complete
usai,"break up, crack up"
jus,"juice, succus"
willy,Willy.
raffi,Raffi
strong,
berjalan,walk
aligato,Aligato.
tokyo,Tokyo
meninggal,die
buru-buru,in a hurry
aha,Aha
titip,
wangi,beautiful
gedein,Gedein.
better,
nomornya,Number
milik,owned by
jadwal,timetable
hafal,memorize
pindahin,Move
hundred,
membawa,bring
menangis,cry
fotonya,His photo
brain,
donation,Donation
enggan,reluctant
esnya,
sudahlah,
masukkan,
leader,Leader
sampai-sampai,even
bogor,"sugar palm, gomuti, gomuti palm, arenga pinnata"
belok,"swerve, swerving, veering"
jaksel,South Jakarta
dark,
plants,Plants.
ori,ORI.
kabel,cable
silver,Silver
pantesan,
saking,Such
hasilnya,As a result
plastiknya,plastic
megang,
tomat,manhattan clam chowder
segi,Strongness
chairul,
deket-deket,Deket-near
nitip,Nitip
note,
andai,"example, illustration, instance, representative"
doh,Doh
raja,king
merek,brand
ac,air conditioning
kado,gift
future,
kind,
justin,
suka-suka,up to
ramah,friendly
delapan,eight
update,
putih-putih,
ceritain,Ceritain
disebut,Called
pura-pura,affected
bahan,ingredients
beb,Bet
dino,
kebiasaan,habit
sombong,proud
teguh,Teguh.
pingin,Pingin
sri,
korek,match
dedek,Dedek
jazz,
apple,
tersenyum,smile
jeju,Jeju.
rainbow,
km,"kilometer, kilometre, km, klick"
tali,rope
hilangkan,Remove it
bring,
warga,inhabitant
artis,artist
kacau,confused
pasang,"rise, go up, climb"
kandang,barn
mundur-mundur,
sunday,
paku,nail
permen,"candy, confect"
melawan,oppose
nabi,prophet
gendong,cradle
burhan,Burhan
kenapa-kenapa,Why? Why
happening,
mayo,Mayo
anggota,member
musiknya,the music
bodo,
barengan,Barengan.
dimasak,cooked
pocong,pocong
pistol,gun
tatang,port
mobile,Mobile
jahat,"baleful, forbidding, menacing, minacious, minatory, ominous, sinister, threatening"
pilihan,choice
ketua,chairman
media,medium
jogja,Jogja
musuhnya,His enemies
berasa,taste
suaraku,My voice
bacot,"trap, cakehole, hole, maw, yap, gob"
ajak,invite
dibawah,under
jin,"spirit, disembodied spirit"
los,Los.
nyonya,Mrs
nunu,
fresh,Fresh.
ngerasa,Felt
bae,Bae
tolol,stupid
sabtu,Saturday
bright,
terang,light
jaga,keep
naswa,
india,
mencapai,reach
tulisan,"writing, committal to writing"
kubus,cube
harga,price
drive,Drive
mak,a.m.
kering,dry
vemmy,
david,David
match,Match.
iye,
www,
semen,cement
judul,title
blacksmith,Blacksmith
breaking,
ehem,"hem, ahem"
dorong,push
seta,Seta.
hak,"possession, ownership"
temen-temen,
coy,Coy
aya,Aya
healthy,Healthy
anti,anti
tiba,arrive
gerbang,gate
cil,
udin,
ahm,
otot,muscle
tiket,Ticket
tol,toll
terbaik,best
gunung,Mountain
brother,
cabang,branch
early,
kepo,
masukin,insert
bentuknya,Its form
makanannya,
ragu,doubt
wujud,"actual, existent"
niat,"motivation, motive, need"
terjun,plunge
jual,sell
malaysia,Malaysia
john,
kejauhan,distance
murah,inexpensive
pleng,Pleng
utara,"north, northerly, northwards, northward"
kecilin,
uta,
kim,
id,
sense,
tokek,gecko
memilih,"modify, qualify"
hulk,Hulk
waris,"inheritance, heritage"
wear,
hari-harimu,Your days
old,
rambutnya,Hair
hal-hal,things
proses,"process, physical process"
sementara,temporary
monster,"bogeyman, bugbear, bugaboo, boogeyman, booger"
donations,
berbagai,"divers(a), diverse"
pr,Pr.
namain,
teriak,shout
matinya,Death
seni,art
wahyu,revelation
kepalanya,His head
celine,Celine
ngeng,Mr.
dibunuh,
pala,nutmeg
meskipun,although
ngeliat,see
lemon,"lemony, lemonlike, sourish, tangy, tart"
jernih,clear
kecuali,except
eat,
wortelnya,
dipencet,
auto,Auto.
boys,
kwe,Kwe.
test,
nida,
negeri,country
teknologi,technology
cina,China
sisi,side
segmen,"segment, section"
konten,
putus,separated
dongeng,fairytale
konon,It is said
bebek,duck
gedung,building
grade,
easy,
put,Put
bumi,earth
kubutuh,
ngegas,Despite
nyariin,
gabut,Gabut.
gowa,
sopo,Sopo
mikirin,think
soffel,Soffel
gmail,
liat,Look
krim,"cream, ointment, emollient"
nafsu,lust
misal,example
donat,donuts
edisi,edition
craft,Craft
krik,
gustav,
siapin,Preparedness
tujuh,seven
talking,
rudi,
jahe,"ginger, gingerroot"
ayat,paragraph
worry,
won't,
alasan,reason
pastinya,
ampe,Ampe.
cita-cita,ambition
kotor,dirty
rileks,relax
cornelius,
gogogogogo,Gogogogogo
subscriber,
laptop,"laptop, laptop computer"
funny,
gurunya,
friday,
hungry,
blade,Blade
toilet,"toilet, lavatory, lav, can, john, privy, bathroom"
deskripsi,description
aman-aman,safe-safe
gula,pecan pie
eden,
stres,Stress
knalpot,exhaust
kela,Kelala.
akui,Acknowledge
btw,BTW.
link,link
mantep,Mantep
antarnusa,Instusters
akeh,Akh
paul,
boneka,doll
berwarna,"color, colour"
aslinya,originally
yu,shark
chance,Chance
cemilan,
almost,
mendapatkan,got
tamu,visitor
tiang,pole
kecap,"soy sauce, soy"
sah,legally
batas,"limit, circumscribe, confine"
lebar,wide
keluarkan,Remove
adakah,Adakah
nagih,Nagih
dicuri,
ular,snake
arti,"multivalent, multi-valued"
nuh,
ngebet,Ngebet
tempatnya,Place
sihir,magic
tell,
hours,
project,
jarak,distance
kredit,credit
wangi-wangi,
romance,
boing,
setannya,
kepikiran,
lupakan,forget it
tinggi-tinggi,High-height
nol,"zero, zero point"
berbuka,
versus,
tato,Tattoo
ilham,inspiration
haloo,Haloo
komentar,comment
selnya,His cell
pacarnya,His girlfriend
imin,Imin
tuyul,
saga,Saga.
koleksi,collection
keempat,"fourthly, fourth"
yummy,
seger,fresh
penghujan,Hash
riset,research
tombak,spear
kanada,Canada
ngambek,sulk
ketawanya,
mix,
stupid,
yogurt,"yogurt, yoghurt, yoghourt"
payung,umbrella
watashi,
keinget,Keinget
kentang,potato
sendok,spoon
ngirim,Send
positif,positive
sky,
kukira,
dikit-dikit,a little
highlight,
seksi,sexy
per,per
ogoh-ogoh,Ogoh-Ogoh.
surrender,
awet,durable
zaman,time
lirik,lyrical
dear,
anyway,
sikat,"comb, comb out, disentangle"
arahnya,
bengkel,workshop
kartu,card
rp,
tool,
karet,"rubber, natural rubber, india rubber, gum elastic, caoutchouc"
topi,hat
hands,
mind,
duri,barb
grey,
event,
maut,death
yee,Yee
oil,
yeyeye,Yeyeye
side,
selesaikan,finish
him,
karma,Karma
diluar,
bakalan,
mampir,Stop by
bapak-bapak,gentlemen
kilo,"kilometer, kilometre, km, klick"
offline,
pin,pin
pen,pen
kadang-kadang,"occasionally, on occasion, once in a while, now and then, now and again, at times, from time to time"
door,
bruce,Bruce
makacih,
jawaban,
deketin,Deketin
santui,
dwiki,
stok,stock
rice,
ferry,
jatah,Ration
cats,
rasain,Rasain
untungnya,
aqua,Aqua.
dipanggil,Called
aktif,active
mampu,capable
ariel,
betapa,how
jongkok,squat
kapan-kapan,
mother,
anget,
pedas,spicy
mabar,
daerah,area
menyenangkan,pleasant
turut,In contrast
kematian,Dead
rem,brake
luas,large
cepatnya,
persen,
diaduk,
nyalahin,blade
dreams,
ost,Ost
instagram,
que,
tok,
diisi,
frank,Frank.
subuh,dawn
ngejar,Claring
yeh,Yeh.
tumbal,"amulet, talisman"
being,
does,
asus,
sounds,
moment,
gaib,Gaib.
motornya,
des,DES.
spoiler,
kakinya,His legs
monday,
tonton,Watch
devi,
missing,
joko,
dilakukan,
gede-gede,Gede-big
send,
present,
chire,
bukti,"validation, proof, substantiation"
lain-lain,
engko,partner
checkpoint,
taro,Taro.
ngurusin,
yei,Yei.
memancing,fishing
datangkan,Dress out
slime-nya,
bekas,used
basket,Basketball
nonononono,
minion,
table,
beres,"clear, solve"
kacamata,"spectacles, specs, eyeglasses, glasses"
tangganya,
matematika,mathematics
juna,
kontainer,Container
metkit,
chandra,
closing,Closing
dokumen,document
binatang,animal
burungnya,Bird
boeing,
emotional,
guru-guru,
pahit,"acrimonious, bitter"
cium,"kiss, buss, osculation"
toxic,
hidung,"rhinal, nasal"
strategi,"strategic, strategical"
mataku,My eyes
spray,Spray.
naiknya,rise
nyantai,relax
dompet,"bag, handbag, pocketbook, purse"
rebahan,
suaminya,Her husband
natal,Christmas
michelle,
figur,figure
dewasa,mature
nikel,nickel
mayat,Corpse
inside,
memicu,Trigger
whole,
alam,nature
pesannya,Message
score,
east,
yogs,Yogs.
pelet,Pellet
mikirnya,Think it
3d,
adi,Adi.
kayanya,
nyaris,Almost
ayolah,come on
haji,"hajj, haj, hadj"
keong,"escargot, snail"
pusat,center
working,
bila,when
tanggung,not quite enough
nego,
da,
repot,hassle
gimang,
500k,
sugar,
ajeng,Ajeng.
drag,Drag
salat,"salat, salaat, salah, salaah"
piece,A piece
ngefans,Ngefans
sign,Sign
dibalik,
baguslah,Good
party,Party.
diganti,replaced
travel,
comeback,Comeback
soya,
tong,Tong
dog,Dog.
ras,race
nyalain,turn on
letak,"put, set, place, pose, position, lay"
kenyang,fare
ehe,Ehe
presiden,president
injak,Stir up
berkali-kali,"frequently, often, oftentimes, oft, ofttimes"
demon,
gratis,"complimentary, costless, free, gratis(p), gratuitous"
kiki,
euy,
wonder,
salah-salah,You might be
ngebut,speeding up
bolong,black
diamond,
ahok,Ahok.
sahur,Sahur
kesurupan,trance
ketupat,
silahkan,please
bayi,baby
pulangnya,Rome
daunnya,Leaves
jas,suit
kalimat,sentence
seekor,A.
cicak,house lizard
mario,
lagian,After all)
halnya,Hey
wib,Write
pulaunya,Alone
lanjutkan,continue
finish,
ayo-ayo,"Come on, come on"
alex,Alex.
agen,"instrument, tool"
yours,
network,
nyetir,drive
berkata,Come on
12.00,12.00.
penonton,viewer
nayla,
indonesianya,
angker,haunted
fakta,factual
team,
misteri,mystery
mengeluarkan,"puff, huff, chuff"
cycle,
honey,
muksin,
kebawa,
nyesel,Nyesel
trek,Track
satu-satunya,"alone(p), unique, unequaled, unequalled, unparalleled"
bilangnya,say it
kompleks,complex
magazine,
tembakau,tobacco
dikenal,known
yay,Yay
dwi,bi
buzz,Buzz.
point,point.
mesinnya,machine
udara,air
esok,tomorrow
lempar,throw
murid,student
tertarik,interested
tinggalin,
makan-makan,eating out
kantor,"office, business office"
kecewa,"flaw, blemish"
komedi,"amusing, comic, comical, funny, laughable, mirthful, risible"
wisata,"tourism, touristry"
center,
maya,"magic trick, conjuring trick, trick, magic, legerdemain, conjuration, thaumaturgy, illusion, deception"
besok-besok,
lokasi,location
campur,"blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld, combine, merge"
fahri,
rumput,herbaceous
dicek,checked
tentunya,
hampa,empty
turunnya,
mike,
exo,
tabrak,
translation,
mainan,toy
jadikan,"induce, stimulate, cause, have, get, make"
setempat,local
potato,Potato.
pelajaran,lesson
neneng,
nyobain,Mobain
ipad,
seberapa,
arus,"course, course of action"
sejarah,historical
reload,Reload
atur,"arrange, set up, put, order"
nontonin,watch
kedengaran,Sound
wadah,receptacle
tengkleng,
curhat,
near,
memiliki,own
rimuru,
panggung,stage
writing,
secure,Secure
san,
melihatnya,see it
dicari,
satu-satu,one by one
pacet,Pacet
tayang,Express
tupai,squirrel
deta,Deta
peta,map
force,
fancy,
handal,"feat, effort, exploit"
lucky,
york,
pertanyaannya,the question
sharing,
makannya,Eat
ojo,Ojo.
mati-mati,Death-dead
sea,
berada,is at
river,
ding,Ding.
ade,
biarkan,let
mananya,
gunanya,Use
shopping,
hashtag,
malam-malam,late at night
jump,
tengkyu,Tengkyu
tweet,
saran,suggestion
jono,Jono
spirit,
multi,
kala,time
chord,Chord
biaya,cost
ngene,
qwerty,
e-blue,
ramai,crowded
bertemu,meet
habisin,
lokal,homegrown
seks,"sexual activity, sexual practice, sex, sex activity"
folder,
angry,
gajah,elephant
iri,"covetous, envious, jealous"
menatap,Staring
e-learning,
diapain,What are you doing
ayesha,
dress,
menamatkan,"finish, finishing"
odong-odong,Odong-odong
kakikeshite,
pret,
jack,
lemawong,
bahasanya,the language
klo,Klo.
effendi,
tebing,"brim, rim, lip"
papan,board
voting,Voting
dapur,kitchen
aris,
stories,Stories
hoax,Hoax
temanku,my friend
stinky,
minuman,drink
singkil,Singkil.
tujuan,objective
ngulang,
jasa,service
turun-turun,Down
kita-kita,
bersinar,"agleam, gleaming, nitid"
sorry-sorry,Sorry-sorry
musim,season
ngumpulin,Collect
beliin,Buyin
genre,type
hukum,law
breakfast,
udang,shrimp
heard,
edition,
different,
wife,
mega,cloud
jones,
padang,Padang
positive,Positive
tibet,Tibet
gameplay,Gameplay
matang,ripe
tumbuh,"grow, develop, produce, get, acquire"
kondisi,condition
ngumpet,Hiding
tunai,"instantaneously, outright, instantly, in a flash"
didn't,
mengalami,experience
rush,
em,"em, pica em, pica"
emoji,
seandainya,if
siswa,"student, pupil, educatee"
their,
basah,"drench, douse, dowse, soak, sop, souse"
cak,Cak.
maafkan,sorry
design,Design
square,Square
ngeh,
munculnya,appearance
kuota,quota
nyentuh,Touch
wo,
smith,
march,
bear,
yap,
pt,
tepuk,"applaud, pat, clap"
social,
tandain,
goodnight,
den,
beta,Beta
nge-lag,
geser,
omedeto,Omedeto
nanananana,
ekor,"trace, follow"
telor,"accent, speech pattern"
ago,
anymore,
berbeda,"divers(a), diverse"
area,Area
rendem,
nyadar,realize
mulus,
dibuang,discarded
nyatanya,
segede,Segede
punyaku,
running,
lux,
skills,
tengker,
lol,
abu-abu,"gray, grayness, grey, greyness"
canyon,
lost,
ulti,
susah-susah,
piye,Piye
rock,"rock 'n' roll, rock'n'roll, rock-and-roll, rock and roll, rock, rock music"
small,
mirror,
kesehatan,health
atap,roofing
ibunya,
zuma,
bintang-bintang,
mf,
somay,
bulu,hair
melompat,jump
berteman,companionable
berdoa,pray
mtk,
alif,Alif
ohio,
fighting,
licin,"crafty, cunning, dodgy, foxy, guileful, knavish, slick, sly, tricksy, tricky, wily"
sona,
sendirian,alone
villa,
wibowo,Wibowo
curiga,"doubtful, dubious"
kelasnya,
kiri-kiri,
damai,peace
gombal,crap
whitelight,
olahraga,sport
mamanya,Her mother
masukkin,Linkin
logika,logic
bersuara,Meaning
koh,Koh.
semi,semi-
semudah,
idea,"idea, thought"
kerjain,
winning,
hubungannya,
hadiahnya,
wong,Wong
ente,
arok,
tahu-tahu,Know
kobok,group
kekasih,lover
medan,"stadium, bowl, arena, sports stadium"
fit,fit
tingkil,Tingkil
bayangan,shadow
perempuan,woman
oppa,
tunjukkan,
bopeng,pockmarked
gadis,girl
agus,Agus.
serta,as well as
memberi,give
jajan,snacking
color,
kapten,captain
order,"ordering, order, ordination"
murni,pure
restore,
panah,
password,Password
dahulu,"for the moment, for the time being"
karo,Karo.
ngatain,
sepeda,bicycle
tengok,Look
lampunya,Lampnya
styles,
troll,
siapapun,anybody
mal,Mall
jemput,pick-up
innova,
betulin,well
pita,tape
tidaknya,No.
jaring,net
bak,bin
suwe,
rio,
scene,
tah,
pengennya,
agan,
peti,chest
via,
mbok,
nanyain,Nanyain
copy,
urusan,affairs
fungsi,function
jogging,
kakek,
noni,
hening,"crystalline, crystal clear, limpid, lucid, pellucid, transparent"
kuburkan,Brush
harap,"hope, go for"
found,
united,
sasuke,
turn,
ustad,Ustad
doa-doa,Prayers
bentar-bentar,Wait a minute
ditinggal,left
kemarau,drought
cacing,worm
freeze,
penis,"penis, phallus, member"
touch,
besi,"iron, smoothing iron"
cumi,squid
naruto,
sword,
gurun,"godforsaken, waste, wild"
bus,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle"
ngehe,
reset,
ten,
patung,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"
reaksi,reaction
korea,Korea
twilight,
proximity,
dicampur,
tercipta,"put, set, place, pose, position, lay"
juli,july
sunshine,Sunshine
paham,understand
rok,skirt
matikan,turn off
demikian,"indeed, so"
nyangka,Amordless
kelinci,"rabbit, coney, cony"
kuasa,influence
ucap,Said
settingnya,
ihsan,
salon,salon
short,
kalem,calm
gato,Gato.
insting,
nobar,Nobar
dimensi,"measure, quantity, amount"
meneh,
dibakar,bake
protagonis,"protagonist, agonist"
jelly,
aturan,rule
jati,fine
kumpul,gather
negatif,negative
jo,Jo.
surat,letter
koi,
menjauh,avoid
manager,Manager
tepung,meal
sikap,attitude
seminggu,
komik,comic
yaelah,
dirimu,yourself
ea,
pinter,
singkat,short
wechat,
pahlawan,hero
trend,"vogue, trend, style"
operasi,operation
sebetulnya,actually
keributan,commotion
diva,Diva.
temenin,Temenin
mengejar,"hunt, run, hunt down, track down"
rata,"alkaline, alkalic"
kawan-kawan,
proyek,"stick out, protrude, jut out, jut, project"
istrinya,His wife
andi,Andi.
yaya,Yaya.
sapi,"cattle, cows, kine, oxen, bos taurus"
atlet,"athlete, jock"
learn,
kiss,Kiss
galau,"noise, interference, disturbance"
catat,note
vicky,
mengenai,about
kebun,garden
wait,wait
asin,salty
bilangin,say
dikata,Dikata
gih,Gih.
mulutnya,His mouth
mengatakan,"speculate, theorize, theorise, conjecture, hypothesize, hypothesise, hypothecate, suppose"
kubuka,I opened
tri,Tri.
katakan,say
rada,
alone,
ditengah,
maneh,again
lulu,
otsu,
kawaii,
learning,
dosen,lecturer
butuhkan,need
bi,BI.
kampung,rural
dikirim,sent
ratu,Queen
ranjang,bed
ngeliatin,
saus,banana split
faith,
advan,
kabarnya,
gaji,remuneration
forward,
memakan,"demolish, destroy"
subhana,
benarkan,
sims,Sims.
sisanya,the rest
diajarin,
yakni,namely
loving,
bitch,Bitch
vc,
ufo,
semester,semester
bell,
lock,
kekuatan,strength
karpet,"rug, carpet, carpeting"
cooker,
remedial,
ilmiah,"knowing, knowledgeable, learned, lettered, well-educated, well-read"
mendayung,row
hadeh,
dibeli,
ninggalin,
wego,
letkol,Lieutenant Colonel
aset,asset
anakku,my child
pekerjaan,profession
menjawab,answer
thai,
nightmare,
roda,wheel
mine,
tea,Tea
ikan-ikan,fish
syahrini,
pay,Pay.
jemur,Jemur
kain,cloth
yaudahlah,Oh yes
bagi-bagi,Share
burger,
dicetak,printed
ceweknya,His girl
agak-agak,rather
banteng,bull
menghindari,avoid
cilok,Cilok.
nge-like,
mening,Mening.
ketiduran,
posisinya,
